kepid,koi_disposition,koi_score,rowid
8560285,FALSE POSITIVE,0,720
8620565,FALSE POSITIVE,0,721
8616873,CANDIDATE,0,722
10854768,CONFIRMED,1,723
10964440,CONFIRMED,1,724
10713616,CONFIRMED,0.939,725
10963242,CONFIRMED,1,726
10785538,FALSE POSITIVE,0,727
6932987,CONFIRMED,1,728
8191672,CONFIRMED,0.754,729
6851425,CONFIRMED,1,730
6934291,CONFIRMED,1,731
7357531,FALSE POSITIVE,0,732
6185711,FALSE POSITIVE,0,733
11037335,CONFIRMED,1,734
11037335,CONFIRMED,1,735
11389771,CONFIRMED,1,736
11389771,CONFIRMED,1,737
8737796,FALSE POSITIVE,0,738
8462258,FALSE POSITIVE,0,739
10925104,CONFIRMED,0.68,740
8454250,FALSE POSITIVE,1,741
8494263,CANDIDATE,0.436,742
8848271,FALSE POSITIVE,0,743
10585852,CONFIRMED,0.997,744
10928043,CANDIDATE,1,745
10794087,CONFIRMED,0.997,746
10794087,CANDIDATE,,747
6541920,CONFIRMED,1,748
4275739,FALSE POSITIVE,0,749
7287415,CONFIRMED,1,750
6924203,CONFIRMED,0.995,751
6878167,FALSE POSITIVE,0,752
6880531,FALSE POSITIVE,,753
6863839,FALSE POSITIVE,0,754
7296086,FALSE POSITIVE,0,755
11389771,CONFIRMED,0.98,756
11599038,CONFIRMED,1,757
11193263,CONFIRMED,1,758
11027624,CONFIRMED,1,759
11032227,CONFIRMED,0.996,760
8751933,CONFIRMED,0.117,761
8630788,CONFIRMED,0.997,762
8630788,CONFIRMED,1,763
8630788,CONFIRMED,0.96,764
8823426,FALSE POSITIVE,0,765
4070376,FALSE POSITIVE,0,766
4078157,FALSE POSITIVE,0.002,767
4164994,CONFIRMED,1,768
4480676,FALSE POSITIVE,0,769
4079535,FALSE POSITIVE,0,770
6766634,CONFIRMED,0.677,771
6774826,FALSE POSITIVE,0,772
5652237,FALSE POSITIVE,0,773
7211469,CONFIRMED,0.999,774
7375795,FALSE POSITIVE,0.49,775
7255336,FALSE POSITIVE,0,776
7831264,CONFIRMED,1,777
7802136,FALSE POSITIVE,0,778
7532973,CONFIRMED,0.041,779
9632895,FALSE POSITIVE,0,780
7449844,FALSE POSITIVE,0,781
8766222,FALSE POSITIVE,0,782
8678594,CONFIRMED,1,783
10925104,CONFIRMED,0.992,784
8678594,CONFIRMED,0.988,785
8703884,FALSE POSITIVE,0,786
8560840,FALSE POSITIVE,0,787
4076098,CONFIRMED,1,788
4551328,FALSE POSITIVE,0,789
4282872,CONFIRMED,1,790
4639868,FALSE POSITIVE,0,791
10555375,FALSE POSITIVE,0,792
4372768,FALSE POSITIVE,0,793
7375795,FALSE POSITIVE,0,794
7211221,CONFIRMED,1,795
7025526,FALSE POSITIVE,0,796
9451127,FALSE POSITIVE,0.005,797
9446824,FALSE POSITIVE,0.085,798
