kepid,koi_disposition,koi_period,koi_time0bk,koi_duration
7626506,CONFIRMED,28.5742692,143.8315,4.9427
10460629,CANDIDATE,856.672115,228.44988,23.144
10319385,CANDIDATE,0.689210173,133.28584,1.6169
10482160,CONFIRMED,7.34373964,137.29874,1.1784
10485069,FALSE POSITIVE,0.445277068,133.52312,3.539
3233043,FALSE POSITIVE,0.379463865,170.2480164,0.86896
6579806,FALSE POSITIVE,9.88047978,173.608672,2.78458
3560301,FALSE POSITIVE,4.6484156,261.09395,38.1939
4044005,FALSE POSITIVE,17.51201477,174.282592,1.8248
11502218,CANDIDATE,3.9886021,171.01852,1.7376
11180361,CANDIDATE,0.533059312,171.2274419,1.8621
5802246,FALSE POSITIVE,0.525154153,133.744359,2.1441
6066403,FALSE POSITIVE,1.303861044,134.212059,4.0541
6209637,FALSE POSITIVE,0.73452496,133.43108,6.7
5988031,FALSE POSITIVE,2.55549176,134.50078,9.083
7684873,FALSE POSITIVE,2.947376671,171.522978,2.0911
8559644,CONFIRMED,224.7789355,142.095338,11.1899
2851100,FALSE POSITIVE,0.890110752,133.2647,0.8774
3130300,FALSE POSITIVE,5.76573396,133.30941,2.924
3240158,CONFIRMED,7.42608123,139.90039,3.6379
3240158,CONFIRMED,15.9868932,137.5964,4.158
3228959,FALSE POSITIVE,0.73094589,133.68876,4.32
3218908,CONFIRMED,18.92537246,149.49558,3.9835
10341913,FALSE POSITIVE,0.933749106,134.31831,4.256
10480921,FALSE POSITIVE,2.037440623,133.59962,3.442
10287723,CANDIDATE,129995.7784,393.59962,9.408
10350571,CONFIRMED,31.5925809,142.9649,13.566
10350571,CANDIDATE,17.157236,133.68951,11.284
3749365,CONFIRMED,1.97376085,178.6894194,1.82542
11013201,CANDIDATE,13.11896244,261.539434,4.3045
11673674,FALSE POSITIVE,4.618767792,133.386535,5.9957
11013201,CANDIDATE,7.82187328,123.49907,3.8417
9414417,CANDIDATE,53.5057611,172.98304,10.5616
3632418,CONFIRMED,2.785821236,260.83731,3.5599
3441784,FALSE POSITIVE,52.56901867,184.971267,6.7507
5820218,FALSE POSITIVE,3.411758679,133.18086,3.158
5876368,FALSE POSITIVE,0.525426427,133.187901,1.0801
5809890,CONFIRMED,1.269091415,133.343682,1.4647
5809890,CONFIRMED,2.853133997,133.79678,1.465
6131236,CONFIRMED,6.79685353,138.11324,3.1702
9048161,FALSE POSITIVE,8.667822346,137.341841,4.9658
3218908,CONFIRMED,1.475323222,131.83272,2.3155
3218908,CONFIRMED,4.15246118,134.57991,2.5755
3235672,FALSE POSITIVE,6.7210783,134.7775984,7.46
2837111,CONFIRMED,8.7348852,135.0818,4.49
3120276,FALSE POSITIVE,10.26547688,136.49663,3.733
2307199,CANDIDATE,13.4471791,132.830555,3.0454
3547091,FALSE POSITIVE,3.305577989,180.68154,2.5903
3869825,FALSE POSITIVE,4.800653901,134.365782,9.0419
3655332,FALSE POSITIVE,15.06649901,140.654788,5.9885
4042026,FALSE POSITIVE,34.82008158,163.015559,11.1711
3344419,FALSE POSITIVE,0.651784374,133.111707,2.0141
11192141,FALSE POSITIVE,1.353771892,261.43662,7.012
11494130,FALSE POSITIVE,18.95491633,262.46677,24.249
5648449,FALSE POSITIVE,4.348866254,262.72768,3.2797
12167361,FALSE POSITIVE,47.93094546,179.096467,2.6897
8607720,FALSE POSITIVE,3.99751422,261.7243,3.686
1433962,FALSE POSITIVE,1.592633181,133.9243804,5.5605
9032900,CANDIDATE,67.5923754,151.75056,12.249
5956342,CONFIRMED,17.02902786,143.33395,4.645
5956342,CONFIRMED,6.84619236,132.17265,3.529
5956342,CONFIRMED,67.8321638,125.881,7.358
5956342,CONFIRMED,43.1312147,166.26105,3.198
