# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Mar 12 08:21:15 2022
#
# User preference: *
#
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN tid:            TESS Input Catalog ID
#
tfopwg_disp,tid
FP,377290815
PC,160440924
APC,233720539
FA,237108272
PC,285094173
PC,330799746
PC,341815767
APC,76989773
PC,393831507
KP,82308728
PC,9392421
PC,142381532
PC,142387023
PC,229750058
CP,229400092
CP,390651552
PC,232982938
PC,235905185
FP,183979262
FP,20182165
PC,27194429
PC,307956397
KP,61098812
APC,71612483
PC,347332255
PC,347332255
PC,207468071
APC,144441148
KP,162689341
PC,381714186
FP,300871545
KP,165987272
KP,168699373
PC,404505029
FP,258871793
KP,198108326
PC,272758199
PC,198385543
KP,54002556
PC,54002556
PC,219824469
PC,23740089
KP,100100827
APC,149577217
APC,378976682
PC,219728669
PC,73540072
PC,157225097
PC,81247740
PC,224313733
APC,180652891
PC,424733642
PC,229742722
CP,279741379
CP,279741379
PC,202426247
PC,323295479
CP,321668398
FP,356919658
KP,229791084
APC,207425203
PC,400430915
FP,400476523
PC,230087585
PC,299780329
APC,260304296
PC,230375747
FP,233503636
PC,229490898
PC,328933398
PC,328933398
PC,328933398
APC,232641326
PC,233047097
PC,233078665
APC,233497719
PC,219762508
PC,243335710
APC,280830734
PC,359357695
PC,59859387
PC,396368313
PC,348755728
PC,219879302
PC,258510872
PC,403136415
PC,229586455
FP,459997997
PC,139771134
APC,278866211
PC,288636599
APC,139198430
PC,63698669
PC,264544388
PC,280865159
PC,384159646
PC,174302697
PC,420645189
PC,420645189
PC,91987762
CP,172370679
KP,166739520
KP,178879588
KP,19684256
KP,272212970
KP,77156657
KP,272213425
KP,429302040
KP,308098254
KP,453789494
KP,37718056
KP,232038798
KP,183532609
KP,437261733
KP,44745133
KP,50712784
KP,53458803
KP,53750200
KP,98283926
KP,98545929
KP,339522221
FP,308425348
KP,102192004
KP,183537452
KP,363851359
KP,112099249
KP,112604564
KP,114299824
KP,371443216
KP,118956453
KP,143143769
KP,14344979
KP,207077681
KP,157266693
CP,183985250
KP,160578764
KP,162922904
KP,386259537
KP,172598832
KP,125739286
KP,176685457
KP,178289267
PC,268301217
PC,128449971
FP,325172035
KP,211438925
PC,7413227
FP,167009792
FP,308919449
PC,382980571
FP,461080504
FP,357536526
FP,127315102
FP,460140752
PC,31268146
PC,334125713
KP,230982885
FP,327663613
PC,356590734
FP,394509844
FP,242536549
PC,466113537
FP,166184426
